Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723064496,10,POST,post_users for Ken,0.600000,0.000000,220,230,230,230,320,320,320,320,320,320,320,8,0,220.0,234.22029175026182,214.54427000207943,319.637092998164,77.0
1723064496,10,POST,post_users for Sarah,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,6,0,220.0,224.77166183428685,215.59916800106294,233.91378200176405,79.0
1723064496,10,,Aggregated,3.400000,0.000000,220,220,230,230,230,230,320,320,320,320,320,44,0,91,130.388709159392,23.166406001109863,319.637092998164,618.8636363636364
1723064497,10,GET,get_users,1.700000,0.000000,26,27,28,28,30,31,31,31,31,31,31,25,0,28,52.95032856010948,23.166406001109863,179.00193400055286,1030.0
1723064497,10,POST,post_users for John,0.400000,0.000000,230,280,280,290,290,290,290,290,290,290,290,7,0,240.0,251.16300228546606,215.544865000993,286.7213030003768,78.0
1723064497,10,POST,post_users for Ken,0.600000,0.000000,230,230,230,230,320,320,320,320,320,320,320,9,0,230.0,233.3763393338207,214.54427000207943,319.637092998164,77.0
1723064497,10,POST,post_users for Sarah,0.600000,0.000000,230,230,230,230,230,230,230,230,230,230,230,6,0,220.0,224.77166183428685,215.59916800106294,233.91378200176405,79.0
1723064497,10,,Aggregated,3.300000,0.000000,220,230,230,230,280,290,320,320,320,320,320,47,0,97,138.9556650002363,23.166406001109863,319.637092998164,584.3191489361702
1723064498,10,GET,get_users,1.700000,0.000000,26,27,28,28,31,31,31,31,31,31,31,29,0,28,49.36830275870181,23.166406001109863,179.00193400055286,1030.0
1723064498,10,POST,post_users for John,0.400000,0.000000,230,230,280,280,290,290,290,290,290,290,290,8,0,230.0,248.20636037475197,215.544865000993,286.7213030003768,78.0
1723064498,10,POST,post_users for Ken,0.700000,0.000000,230,230,230,230,320,320,320,320,320,320,320,9,0,230.0,233.3763393338207,214.54427000207943,319.637092998164,77.0
1723064498,10,POST,post_users for Sarah,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064498,10,,Aggregated,3.300000,0.000000,31,220,220,230,230,280,290,290,290,290,290,54,0,91,135.31143225945587,23.166406001109863,319.637092998164,589.2407407407408
